,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
389931,0u9EI8zmr2QMuJLMiQFUIn,A Cruel Angel's Thesis - Director's Edit Version,62,245093,0,"['Shiro Sagisu', 'Yoko Takahashi']","['5k3NfhEeZHpouIGDpjKOPo', '2RSmBT9gH02j53dMSw982t']",2019-06-21,0.646,0.676,0,-9.477,0,0.0431,0.0339,1.99e-06,0.13,0.59,128.128,4
269827,4TKATbWkFl9UPhjhmNVTDy,拒絕再玩,26,217267,0,['Leslie Cheung'],['2g0QLUYku8AuPVK2udRV7i'],1987-01-01,0.803,0.776,5,-8.794,1,0.0421,0.288,0.0,0.0432,0.943,118.04,4
118961,2jP8HBbHpKRmEkfynvf5kS,Slowly but Surely,23,133880,0,['Elvis Presley'],['43ZHCT0cAZBISjO8DG9PnE'],1963-11-15,0.586,0.678,0,-11.15,1,0.0654,0.36,0.0,0.329,0.883,135.969,4
124842,1mRLuw2AguRIDdEeEslB9h,When the Rooster Leaves the Yard,2,138040,0,['Lefty Frizzell'],['05pAwLhsutiuj6gerEwGvU'],1952-02-01,0.687,0.375,5,-13.629,1,0.0325,0.76,0.00126,0.135,0.926,86.083,4
420613,26ej7ltkDI0a5CX7wZSZNf,Jumătatea mea mai bună,51,217674,0,"['3 Sud Est', 'Andra']","['0niQ4Q9nI1Qh0BHpT3b4NC', '72FGvJgYbs0NBeJqECy6cF']",2021-03-19,0.573,0.899,7,-4.022,0,0.0366,0.127,0.000463,0.174,0.722,172.004,4
480769,64P5cPy8nunKGyESY6aGwI,Mi Corazón Esta Llorando - En Vivo,23,219693,0,['Jambao'],['37zUz0gjTaNCWTOymnuWGG'],2001,0.638,0.772,0,-5.777,1,0.0761,0.109,1.75e-05,0.271,0.734,84.898,4
448450,0mjypCeI3dELowAniJDRpV,Hasrat Sekejap,30,267893,0,['Ari Lasso'],['1sqYIwXAmhrcSTsYmsTFAr'],2003,0.571,0.86,2,-5.22,1,0.0296,0.00362,7.11e-05,0.233,0.584,109.993,4
304399,4spQz2Uy36lBCoxV57m62c,Carte Blanche - David Gravell Radio Edit,1,169091,0,"['Veracocha', 'David Gravell']","['1DT2WEMQmEJ3yRmTaqzrXd', '66B0qssqmVQXJGf9cmTNKi']",2014-12-19,0.561,0.852,10,-6.272,0,0.0581,0.0274,0.804,0.267,0.135,131.998,4
517583,7CdWPnD06ONtWrKmv3dQYH,Kaadhalikka Neramillai,18,313933,0,['Sirkazhi Govindarajan'],['0POTtVVziAK15RvxYMP3H1'],1964-04-22,0.438,0.633,8,-9.97,1,0.107,0.929,0.16,0.0855,0.86,78.673,4
420462,4wtydOjzDqRDAjlT2qV97N,Hybrid,42,181346,1,"['PRNY', 'Nane']","['0cA9DRt344kHIuWkY87dEk', '1QexdJFYGyxdBlEpDSy0d4']",2020-09-22,0.546,0.842,9,-6.729,1,0.371,0.471,0.0,0.124,0.644,90.061,4
8907,0d0f9a5CU1IcOC6fSAP6qv,Baby Won't You Please Come Home,1,169914,0,['Jimmie Lunceford & His Orchestra'],['5C1s7og01vLEIGIMMoLraQ'],1934-04-25,0.597,0.433,5,-9.186,1,0.172,0.965,0.116,0.105,0.904,172.411,4
335904,5tidfAl9lcKxoHB63qatts,ขอโทษ...หัวใจ,40,252161,0,['Instinct'],['6k1ekEfg7DnWc0FbMDY67I'],2015-10-29,0.467,0.651,3,-5.034,1,0.0349,0.199,1.32e-05,0.149,0.208,136.124,4
580793,2YChI7TAO2QY1uLd0ceLSI,Förgiftat blod,31,323920,0,['Eldkvarn'],['6TLywjDgcz3M1rTrX7ht5k'],1994,0.621,0.649,1,-6.972,0,0.0245,0.0835,0.00013,0.352,0.519,109.248,4
