,id,followers,genres,name,popularity
616136,30rw5KUK9scnLQwwtBBcgi,12.0,[],Martin Jack Rosenblum,0
375922,3Fyd40rXqgP2nQLoT0Do9S,423.0,['toronto rap'],Lord Royal 22,1
1070625,65jH9SLBuyTPF2yPM8KEhF,24.0,[],Sunday Clothes,0
769814,5Php4P0KPI2lYMAzQsXr7g,766.0,[],Miramor,5
8804,0CNsRUIeRKpo9V2SSgxn6B,0.0,[],Mc Keozinho,0
702876,1kUeeQE0zDTXn1D7hOp6ca,70.0,['missouri indie'],Decadent Nation,0
1084326,6RkcmjFUwq8SYrfNlpO86b,19.0,[],Bobby Cunningham,0
138460,5oyNl4KxsjkVfyvnwcl8ex,10062.0,"['classic soundtrack', 'french soundtrack', 'spytrack', 'vintage french electronic']",François de Roubaix,37
364462,439wZqhM20f5Xb2UhqVbAO,10.0,[],Old Marinnes,1
478775,6JtIbpy4XUjrBX0684io7B,85.0,[],Escape December,0
242172,2bjNfV56vJ0NXBpVdD8d4q,7.0,[],Jerry Sroka,11
207977,5gkILiRupI9EBzLr5qKItD,17.0,[],Rocky Zharp & the Blues Crackers,0
226982,52lmUajfAeIz3jbNo1ngYW,121.0,[],Magnified Eye,0
39833,06uQOOhaxuqV5iR8UZyRvH,0.0,[],林修修,0
790096,2bKvXpy4DdY6JV8EaVxTcR,3.0,[],Fethi,0
541890,5eBeYTSVh6Ebtcw60DK1zO,89.0,[],On Eagle's Wing,1
881981,1Amq9ZoJIeMfnk2YwSjDxT,21.0,[],Starshine in the Sky,0
968274,22GGo3ysvMZTPCsqW2b07T,4528.0,[],Davide Pannozzo,14
543919,6BuS9E3EV392lnDbtlbY3L,4.0,[],"Sam Skelton, Jon Chalden, Joe Reda, John Carrozza, Jen Carrozza",0
920580,4fycRH1fiRnUdEeRMdLpfE,243.0,[],El Papa De La Salsa,2
735718,2PO1Z23LoYo2NuVLj37a51,316.0,['deep norteno'],La Leyenda del Bravo,9
792732,5PXrqIDgqDZpqxPGplU5an,5.0,[],Simon Preston/Valda Aveling/Menuhin Festival Orchestra/Yehudi Menuhin,3
610671,7dmTr9h6Fn5Fqzz6VuzvDb,1293.0,['kingston on indie'],Hugh Dillon,13
368344,31Q9Bw9JjyG9ySC2d0aZa2,671.0,['string quartet'],Chilingirian Quartet,30
915800,1DZGly0cnMK5fVgjVOqPLL,31.0,[],Mauguzun,0
460837,4ZTeb97EvHTnWDdHkbvgpy,38.0,[],La Terremoto de Málaga,1
1092287,3Z07oNKzSQXiOP8BClsgMe,4.0,[],Kelley Peters,0
656993,6KlsPdzx9WWHFpTyX0XLpV,17.0,['caucasian folk'],Rustavi,0
66492,2HAShHcL0dMLf1iNzmxTi3,135554.0,['norwegian pop'],Freddy Kalas,57
800438,4FllYvVouoeqYtGFC5tmsF,51.0,[],Kirsch & Dubnitzky,0
920777,6rOo7fJEVfvxGQVU6DzeGJ,394.0,['musique guadeloupe'],Henri Debs,11
199281,5YKh4YDHFhZd987g6rn3oR,17556.0,"['pop emo', 'post-screamo', 'slayer']",Rivals,45
487454,6CXp2vddbv6zcgNQWej39f,9.0,['mambo'],Carlo Peretti,0
997785,1jn8guuTPWlPMLjNP9Aqhg,4133.0,[],"Cerf, Mitiska & Jaren",24
269794,2qqffYvScE7PelxEaa2FAt,62.0,[],Artur Ribeiro,7
226768,5v5staKWV7QHE11Xu3A5Pg,8673.0,"['new age', 'new age piano']",Stanton Lanier,42
82212,5FJo79kgKDvcxagzYkUobo,3391.0,['makossa'],Dina Bell,23
744878,783kFFCcZJE1uh95TmJs4j,6.0,[],Sasha & Natasha,26
159090,47BZH0v1Dvd7ce9C0KN5Jo,12815.0,['brega'],Orlando Dias,23
358141,6Cm1ACctDjD2c8Fe9qzdGH,4.0,[],Jimmie Lykes,0
440163,0Ey8TMIVvT6OSYiblEuyMh,13462.0,['alt z'],Frawley,52
525888,2fV2H8n8CjcjsN0hCJTmXU,64.0,[],Hermandad de Sanlúcar de Barrameda,4
490655,5EaYp61XS3kzx0p6ePmIsL,13.0,['medieval rock'],Ailbe Grace,0
